image,output,flag,username,timestamp
C:\Users\Timgad informatique\Desktop\PFE APP\flagged\image\tmpbzcnguas.png,,,,2023-04-25 21:42:34.622409
C:\Users\Timgad informatique\Desktop\PFE APP\flagged\image\tmpalqveaph.jpg,C:\Users\Timgad informatique\Desktop\PFE APP\flagged\output\tmpqfpegfb0.json,,,2023-04-25 23:11:57.178131
